Date,Team,Acquired,Relinquished,Notes
2023-08-31,Bears,,• Teven Jenkins,placed on IR with leg injury
2023-08-31,Bills,,• Baylon Spector,placed on IR with hamstring injury
2023-08-31,Bills,,• Justin Shorter,placed on IR with hamstring injury
2023-08-31,Broncos,,• Alex Palczewski,placed on IR with hand injury
2023-08-31,Broncos,,• K'Waun Williams,placed on IR with surgery on left ankle
2023-08-31,Broncos,,• P.J. Locke,placed on IR with leg injury
2023-08-31,Browns,,• Jordan Kunaszyk,placed on IR with torn MCL in knee
2023-08-31,Cardinals,,• Dennis Daley,placed on IR with ankle injury
2023-08-31,Cardinals,,• Myjai Sanders,placed on IR with hand injury
2023-08-31,Colts,,• Jelani Woods,placed on IR with hamstring injury
2023-08-31,Commanders,,• Efe Obada,placed on IR with undisclosed injury
2023-08-31,Commanders,,• Phidarian Mathis,placed on IR with calf injury
2023-08-31,Cowboys,,• Matt Waletzko,placed on IR with shoulder injury
2023-08-31,Cowboys,,• Nahshon Wright,placed on IR with high ankle sprain
2023-08-31,Dolphins,,• Jalen Ramsey,placed on IR recovering from surgery on left knee to repair torn meniscus
2023-08-31,Dolphins,,• Jeff Wilson Jr.,placed on IR with various injuries
2023-08-31,Dolphins,,• Robert Jones (e),placed on IR with sprained MCL in knee
2023-08-31,Jaguars,,• Cooper Hodges,placed on IR with patellar tendon injury in knee
2023-08-31,Jaguars,,• Davon Hamilton,placed on IR with back injury
2023-08-31,Jets,,• Carter Warren,placed on IR with torn meniscus in knee
2023-08-31,Jets,,• Kenny Yeboah,placed on IR with hamstring injury
2023-08-31,Lions,,• Julian Okwara,placed on IR with undisclosed injury
2023-08-31,Packers,,• Luke Tenuta,placed on IR with ankle injury
2023-08-31,Panthers,,• Stephen Sullivan,placed on IR with hip injury
2023-08-31,Patriots,,• Tyquan Thornton,placed on IR with shoulder injury
2023-08-31,Ravens,,• Damarion Williams,placed on IR with ankle injury
2023-08-31,Ravens,,• Keaton Mitchell,placed on IR with shoulder injury
2023-08-31,Ravens,,• Malik Hamm,placed on IR with undisclosed injury
2023-08-31,Texans,,• Cameron Johnston,placed on IR with calf injury
2023-08-31,Texans,,• Juice Scruggs,placed on IR with hamstring injury
2023-08-31,Titans,,• Kyle Philips,placed on IR with MCL injury in knee
2023-08-31,Vikings,,• Kene Nwangwu,placed on IR with leg injury
2023-08-31,Bears,• Gabe Houy,,activated from IR
2023-08-31,Bears,• Trestan Ebner,,activated from IR
2023-08-31,Cardinals,• Lachavious Simmons,,activated from IR
2023-08-31,Chargers,• Blake Lynch,,activated from IR
2023-08-31,Commanders,• Kyric McGowan,,activated from IR
2023-08-31,Giants,• Zyon Gilbert,,activated from IR
2023-08-31,Seahawks,• Joey Blount,,activated from IR
2023-09-01,Rams,,• Ochaun Mathis,placed on IR with knee injury
2023-09-01,Bills,• Matt Barkley,,activated from IR
2023-09-01,Chargers,• Darrius Shepherd,,activated from IR
2023-09-01,Chiefs,• Olakunle Fatukasi,,activated from IR
2023-09-01,Commanders,• Jonathan Williams (b. 1994-02-02),,activated from IR
2023-09-01,Panthers,• Marquez Stevenson,,activated from IR
2023-09-01,Patriots,• Diego Fagot,,activated from IR
2023-09-01,Texans,• Tyree Gillespie,,activated from IR
2023-09-02,,,• Joey Blount,"fined $4,857 by NFL"
2023-09-02,Jets,,• Randall Cobb,"fined $13,889 by NFL"
2023-09-02,Rams,,• Tre'Vius Hodges-Tomlinson / Tre Tomlinson,"fined $4,444 by NFL"
2023-09-04,Panthers,,• Marquis Haynes,placed on IR with back injury
2023-09-04,Patriots,,• Riley Reiff,placed on IR with knee injury
2023-09-04,Seahawks,,• Dareke Young,placed on IR with abductor injury in hip
2023-09-04,Broncos,• Christopher Allen,,activated from IR
2023-09-04,Buccaneers,• Dominique Dafney,,activated from IR
2023-09-04,Buccaneers,• Kedrick Whitehead,,activated from IR
2023-09-04,Giants,• Jack Anderson (b. 1998-10-12),,activated from IR
2023-09-04,Jaguars,• Jaray Jenkins,,activated from IR
2023-09-04,Raiders,• Chris Lacy (b. 1996-01-28),,activated from IR
2023-09-04,Rams,• Rashad Torrence II,,activated from IR
2023-09-04,Texans,• Keaton Sutherland,,activated from IR
2023-09-04,Texans,• Roy Lopez,,activated from IR
2023-09-04,Titans,• Alize Mack,,activated from IR
2023-09-05,49ers,• A.J. Parker,,activated from IR
2023-09-05,49ers,• Zane Gonzalez,,activated from IR
2023-09-05,Buccaneers,• Don Gardner / Donnie Gardner,,activated from IR
2023-09-05,Raiders,• Isaiah Zuber,,activated from IR
2023-09-05,Raiders,• Jordan Perryman,,activated from IR
2023-09-05,Vikings,• Abraham Beauplan,,activated from IR
2023-09-06,Rams,,• Shaun Jolly,placed on IR with undisclosed injury
2023-09-06,Saints,,• Jake Haener,suspended by NFL for 6 games for violating the league's substance abuse policy / violation of the league's performance enhancing drug policy
2023-09-06,Texans,,• Tytus Howard,placed on IR with surgery on hand to repair fracture
2023-09-06,49ers,• Tayler Hawkins,,activated from IR
2023-09-06,Bears,• Dante Pettis,,activated from IR
2023-09-06,Bears,• Isaiah Ford,,activated from IR
2023-09-06,Chiefs,• Jerome Carvin,,activated from IR
2023-09-06,Colts,• Ricky Seals-Jones,,activated from IR
2023-09-06,Dolphins,• Eric Saubert,,activated from IR
2023-09-06,Jets,• Jimmy Moreland,,activated from IR
2023-09-06,Lions,• Jermar Jefferson,,activated from IR
2023-09-06,Packers,• Broughton Hatcher / B.R. Hatcher,,activated from IR
2023-09-06,Packers,• Tarvarius Moore,,activated from IR
2023-09-06,Packers,• Tyler Goodson,,activated from IR
2023-09-06,Seahawks,• Vi Jones (b. 1998-05-05),,activated from IR
2023-09-07,Chargers,• Milton Wright,,activated from IR
2023-09-07,Packers,• Lew Nichols III,,activated from IR
2023-09-07,Rams,• Ryan Smenda Jr.,,activated from IR
2023-09-07,Titans,• Tyler Shelvin,,activated from IR
2023-09-07,Vikings,• Tay Gowan,,activated from IR
2023-09-08,Commanders,,• Dax Milne,placed on IR with groin injury
2023-09-08,Raiders,,• Brandon Facyson,placed on IR with shin injury
2023-09-08,Colts,• JoJo Domann,,activated from IR
2023-09-08,Falcons,• Cornell Armstrong,,activated from IR
2023-09-08,Jaguars,• Josh Wells,,activated from IR
2023-09-08,Patriots,• Conor McDermott,,activated from IR
2023-09-08,Rams,• Shaun Jolly,,activated from IR
2023-09-09,Patriots,,• Jack Jones (b. 1997-12-20),placed on IR with hamstring injury
2023-09-09,Rams,,• Cooper Kupp,placed on IR with hamstring injury
2023-09-09,Rams,,• Hunter Long,placed on IR with thigh injury
2023-09-09,Saints,,• Tre'Quan Smith,placed on IR with groin injury
2023-09-09,Seahawks,,• Kenny McIntosh,placed on IR with sprained knee
2023-09-09,Rams,• DeAndre Square,,activated from IR
2023-09-10,Ravens,,• J.K. Dobbins,torn Achilles tendon (out for season)
2023-09-11,Browns,,• Jack Conklin,torn ACL in knee (out for season)
2023-09-11,Broncos,• Forrest Merrill,,activated from IR
2023-09-12,Browns,,• Jack Conklin,"placed on IR with torn ACL, MCL in left knee"
2023-09-12,Eagles,,• Nakobe Dean,placed on IR with right foot injury
2023-09-12,Jets,,• Aaron Rodgers,placed on IR with torn left Achilles tendon
2023-09-12,Ravens,,• J.K. Dobbins,placed on IR with torn left Achilles tendon
2023-09-12,Bengals,• La'el Collins,,activated from reserve/physically unable to perform list
2023-09-12,Bengals,• Tautala Pesefea Jr.,,activated from IR
2023-09-12,Eagles,• Charleston Rambo,,activated from IR
2023-09-12,Jets,• Brandin Echols,,reinstated from reserve/suspended list
2023-09-13,Broncos,,• Caden Sterns,placed on IR with knee injury
2023-09-13,Colts,,• Evan Hull,placed on IR with knee injury
2023-09-13,Panthers,,• Brady Christensen,placed on IR with biceps injury
2023-09-13,Rams,,• Stetson Bennett,placed on reserve/non-football injury list with undisclosed
2023-09-13,Saints,,• Payton Turner,placed on IR with surgery on toe
2023-09-13,Saints,,• Ryan Connelly,placed on practice squad IR with undisclosed injury
2023-09-13,Seahawks,,• Abraham Lucas,placed on IR with knee injury
2023-09-13,Texans,,• Hassan Ridgeway,placed on IR with calf injury
2023-09-13,Texans,,• Noah Brown,placed on IR with groin injury
2023-09-13,Jaguars,,• Leonard Taylor,suspended by NFL for 2 games for undisclosed reason
2023-09-13,Jaguars,,• Leonard Taylor,placed on reserve/suspended list
2023-09-14,Bears,,• Kyler Gordon,placed on IR with hand injury
2023-09-14,Colts,,• Jack Anderson (b. 1998-10-12),placed on practice squad IR
2023-09-14,Steelers,,• Cameron Heyward / Cam Heyward,placed on IR with surgery on groin
2023-09-15,Panthers,,• Jaycee Horn,placed on IR with hamstring injury
2023-09-15,Rams,,• Jason Taylor II,placed on IR with groin injury
2023-09-15,Vikings,,• Olisaemeka Udoh / Oli Udoh,quadriceps injury (out for season)
2023-09-15,Eagles,• Trey Sermon,,activated from IR
2023-09-16,49ers,,• Samuel Womack,placed on IR with MCL injury in knee
2023-09-16,Broncos,,• Greg Dulcich,placed on IR with hamstring injury
2023-09-16,Broncos,,• Kareem Jackson,"fined $14,819 by NFL"
2023-09-16,Cardinals,,• Kyzir White,"fined $18,056 by NFL"
2023-09-16,Cardinals,,• L.J. Collier,placed on IR with biceps injury
2023-09-16,Jaguars,,• Gregory Junior,placed on IR with hamstring injury
2023-09-16,Lions,,• Joshua Paschal / Josh Paschal,placed on IR with knee injury
2023-09-16,Lions,,• Khalil Dorsey,placed on IR with illness
2023-09-16,Rams,,• Aaron Donald,"fined $16,391 by NFL"
2023-09-16,Seahawks,,• D.K. Metcalf,"fined $21,854 by NFL"
2023-09-18,Cardinals,,• Budda Baker,placed on IR with hamstring injury
2023-09-18,Steelers,,• Anthony McFarland Jr.,placed on IR with knee injury
2023-09-18,Steelers,,• Diontae Johnson,placed on IR with hamstring injury
2023-09-18,Cowboys,• Ronald Jones II,,reinstated from suspension
2023-09-19,Lions,,• Chauncey Gardner-Johnson / C.J. Gardner-Johnson,placed on IR with pectoral muscle injury
2023-09-19,Lions,,• James Houston,placed on IR with fractured ankle
2023-09-19,Panthers,,• Shaq Thompson,placed on IR with fractured fibula in right leg
2023-09-19,Ravens,,• Ar'Darius Washington,placed on IR with chest injury
2023-09-19,Vikings,,• Olisaemeka Udoh / Oli Udoh,placed on IR with torn quadriceps tendon
2023-09-19,Bengals,• Marvell Tell III,,activated from IR
2023-09-19,Browns,• Anthony Schwartz,,activated from IR
2023-09-19,Browns,• Thakarius Keyes / Ty Keyes / BoPete Keyes,,activated from IR
2023-09-19,Panthers,• Mac McCain III,,activated from IR
2023-09-20,Bears,,• Braxton Jones,placed on IR with neck injury
2023-09-20,Browns,,• Nick Chubb,placed on IR with left knee injury
2023-09-20,Buccaneers,,• Chase Edmonds,placed on IR with sprained MCL in knee
2023-09-20,Eagles,,• Avonte Maddox,placed on IR with torn pectoral muscle
2023-09-20,Raiders,,• Chandler Jones (James),placed on reserve/non-football injury list for personal reasons
2023-09-20,Saints,,• Marcus Maye,suspended by NFL for 3 games for violating the league's substance abuse policy
2023-09-20,Seahawks,,• Mike Morris (Jr.),placed on IR with shoulder injury
2023-09-21,Cowboys,,• Trevon Diggs,torn ACL in left knee (out for season)
2023-09-21,Vikings,,• Jalen Nailor,placed on IR with hamstring injury
2023-09-22,49ers,,• Jauan Jennings,"fined $21,855 by NFL for low block"
2023-09-22,Bills,,• Taylor Rapp,"fined $9,611 by NFL for hit to a defenseless receiver"
2023-09-22,Broncos,,• Kareem Jackson,"fined $19,669 by NFL for impermissible use of helmet"
2023-09-22,Broncos,,• Nik Bonitto,"fined $7,326 by NFL for facemask"
2023-09-22,Browns,,• David Njoku,"fined $13,659 by NFL for taunting (gun celebration)"
2023-09-22,Browns,,• Deshaun Watson,"fined $21,854 by NFL for unsportsmanlike conduct"
2023-09-22,Browns,,• Deshaun Watson,"fined $13,659 by NFL for taunting (gun celebration)"
2023-09-22,Browns,,• Jerome Ford,"fined $5,281 by NFL for unsportsmanlike conduct"
2023-09-22,Buccaneers,,• Rachaad White,"fined $6,477 by NFL for unsportsmanlike conduct"
2023-09-22,Buccaneers,,• Vita Vea,"fined $8,941 by NFL for unsportsmanlike conduct"
2023-09-22,Chargers,,• Derwin James Jr.,"fined $21,855 by NFL for hit to a defenseless receiver"
2023-09-22,Chargers,,• Kenneth Murray Jr.,"fined $21,855 by NFL for roughing the passer"
2023-09-22,Chiefs,,• Travis Kelce,"fined $12,500 by NFL for unsportsmanlike conduct"
2023-09-22,Commanders,,• Jamin Davis,"fined $21,855 by NFL for roughing the passer"
2023-09-22,Giants,,• Bobby Okereke,"fined $16,391 by NFL for roughing the passer"
2023-09-22,Jets,,• Jordan Whitehead,"fined $21,855 by NFL for helmet to helmet hit"
2023-09-22,Patriots,,• Marcus Jones Jr.,placed on IR with torn labrum in shoulder
2023-09-22,Patriots,,• Marte Mapu,"fined $5,620 by NFL for hit to a defenseless receiver"
2023-09-22,Raiders,,• Tre'von Moehrig / Trevon Moehrig,"fined $11,962 by NFL for roughing the passer"
2023-09-22,Rams,,• Russ Yeast,"fined $4,940 by NFL for helmet to helmet hit"
2023-09-22,Ravens,,• Patrick Queen,"fined $21,498 by NFL for unsportsmanlike conduct"
2023-09-22,Ravens,,• Rashod Bateman,"fined $16,391 by NFL for blind-side block"
2023-09-22,Saints,,• Adam Prentice,"fined $5,222 by NFL for unsportsmanlike conduct"
2023-09-22,Saints,,• Foster Moreau,"fined $10,000 by NFL for unsportsmanlike conduct"
2023-09-22,Seahawks,,• D.K. Metcalf,"fined $10,927 by NFL for facemask"
2023-09-22,Seahawks,,• Darrell Taylor,"fined $11,957 by NFL for roughing the passer"
2023-09-22,Seahawks,,• Tre Brown,"fined $6,112 by NFL for facemask"
2023-09-22,Steelers,,• Damontae Kazee,"fined $11,806 by NFL for unsportsmanlike conduct"
2023-09-22,Steelers,,• DeMarvin Leal,"fined $6,549 by NFL for facemask"
2023-09-22,Steelers,,• Elandon Roberts,"fined $43,709 by NFL for impermissible use of helmet"
2023-09-22,Steelers,,• Kwon Alexander,"fined $43,709 by NFL for late hit"
2023-09-22,Texans,,• Denzel Perryman,"fined $66,666 by NFL for impermissible use of helmet"
2023-09-22,Titans,,• Kearis Jackson,placed on IR with ankle injury
2023-09-22,Vikings,,• Troy Dye,"fined $6,554 by NFL for impermissible use of helmet"
2023-09-22,Titans,,• Hassan Haskins,placed on IR with undisclosed injury
2023-09-23,Bears,,• Khalid Kareem,placed on IR with hip injury
2023-09-23,Browns,,• Deshaun Watson,"fined $35,513 by NFL"
2023-09-23,Cardinals,,• Carlos Watkins,placed on IR with biceps injury
2023-09-23,Chiefs,,• Richie James,placed on IR with knee injury
2023-09-23,Commanders,,• Chase Young,"fined $16,391 by NFL for roughing the passer"
2023-09-23,Cowboys,,• Trevon Diggs,placed on IR with torn ACL in left knee
2023-09-23,Jets,,• Duane Brown,"placed on IR with various injuries / shoulder, hip injuries"
2023-09-23,Saints,,• Jamaal Williams,placed on IR with hamstring injury
2023-09-23,Steelers,,• Jaylen Warren,"fined $48,333 by NFL for impermissible use of helmet"
2023-09-23,Texans,,• Derek Stingley Jr.,placed on IR with hamstring injury
2023-09-25,Chargers,,• J.C. Jackson,"warrant issued for arrest for failing to comply with terms of 2021 criminal speeding charge; reportedly did not complete required programming or pay $300 fine or abide by terms of subsequent probation, and did not appear for probation violation hearing court hearing"
2023-09-25,Chargers,,• Mike Williams (K.),torn ACL in left knee (out for season)
